3244614;Конструктор LEGO Technic Lamborghini Sian FKP 37 42115;36799 RUB;МСК, СПБ;22859 RUB;https://www.detmir.ru/product/index/id/3244614/
3226557;Конструктор LEGO DUPLO Classic Коробка с кубиками большая 10914;4499 RUB;МСК, СПБ;2739 RUB;https://www.detmir.ru/product/index/id/3226557/
3244486;Конструктор LEGO Creator Пиратский корабль 31109;8999 RUB;МСК, СПБ;5469 RUB;https://www.detmir.ru/product/index/id/3244486/
3244600;Конструктор LEGO Minecraft Набор для творчества 3.0 21161;7499 RUB;МСК, СПБ;4729 RUB;https://www.detmir.ru/product/index/id/3244600/
3405627;Конструктор LEGO Ninjago Битва с роботом Зейна 71738;5399 RUB;МСК, СПБ;3279 RUB;https://www.detmir.ru/product/index/id/3405627/
3175977;Конструктор LEGO City Space Port Ракета для запуска в далекий космос и пульт управления запуском 60228;8999 RUB;МСК, СПБ;5499 RUB;https://www.detmir.ru/product/index/id/3175977/
3193108;Конструктор LEGO Disney Frozen Волшебный ледяной замок Эльзы 43172;6499 RUB;МСК, СПБ;4219 RUB;https://www.detmir.ru/product/index/id/3193108/
3405586;Конструктор LEGO City Police Транспорт для перевозки преступников 60276;1599 RUB;МСК, СПБ;969 RUB;https://www.detmir.ru/product/index/id/3405586/
3405621;Конструктор LEGO Ninjago Дракон из джунглей 71746;3599 RUB;МСК, СПБ;2339 RUB;https://www.detmir.ru/product/index/id/3405621/
3386280;Конструктор LEGO Minecraft Пасека 21165;1799 RUB;МСК, СПБ;1339 RUB;https://www.detmir.ru/product/index/id/3386280/
3405587;Конструктор LEGO City Police Катер полицейского патруля 60277;4499 RUB;МСК, СПБ;2739 RUB;https://www.detmir.ru/product/index/id/3405587/
3405637;Конструктор LEGO Minecraft 21168;2699 RUB;МСК, СПБ;1699 RUB;https://www.detmir.ru/product/index/id/3405637/
3226556;Конструктор LEGO DUPLO Classic Коробка с кубиками 10913;2599 RUB;МСК, СПБ;1639 RUB;https://www.detmir.ru/product/index/id/3226556/
3596784;Конструктор LEGO Friends Гранд-отель Хартлейк Сити 41684;9499 RUB;МСК, СПБ;5999 RUB;https://www.detmir.ru/product/index/id/3596784/
619011;Конструктор LEGO Classic Набор для творчества среднего размера (10696);2499 RUB;МСК, СПБ;1519 RUB;https://www.detmir.ru/product/index/id/619011/
3226605;Конструктор LEGO Friends Автобус для друзей 41395;6499 RUB;МСК, СПБ;4009 RUB;https://www.detmir.ru/product/index/id/3226605/
3405551;Конструктор LEGO Friends Торговый центр Хартлейк Сити 41450;9499 RUB;МСК, СПБ;5999 RUB;https://www.detmir.ru/product/index/id/3405551/
3226631;Конструктор LEGO Technic Мобильный кран 42108;9499 RUB;МСК, СПБ;5779 RUB;https://www.detmir.ru/product/index/id/3226631/
3386282;Конструктор LEGO Minecraft Торговый пост 21167;;МСК, СПБ;1799 RUB;https://www.detmir.ru/product/index/id/3386282/
3596780;Конструктор LEGO Friends Домик в лесу 41679;2599 RUB;МСК, СПБ;1649 RUB;https://www.detmir.ru/product/index/id/3596780/
3244612;Конструктор LEGO Technic Самосвал Volvo 6*6 42114;22999 RUB;МСК, СПБ;13999 RUB;https://www.detmir.ru/product/index/id/3244612/
3596768;Конструктор LEGO Minecraft Мерзость из джунглей 21176;3699 RUB;МСК, СПБ;2249 RUB;https://www.detmir.ru/product/index/id/3596768/
3244472;Конструктор LEGO DUPLO Грузовик и гусеничный экскаватор 10931;1759 RUB;МСК, СПБ;969 RUB;https://www.detmir.ru/product/index/id/3244472/
3546360;Конструктор LEGO Harry Potter Хогвартс-экспресс 75955;7499 RUB;МСК, СПБ;5779 RUB;https://www.detmir.ru/product/index/id/3546360/
3405579;Конструктор LEGO My City Центр города 60292;8999 RUB;МСК, СПБ;5489 RUB;https://www.detmir.ru/product/index/id/3405579/
3142047;Конструктор LEGO Technic Chevrolet Corvette ZR1 42093;3699 RUB;МСК, СПБ;2999 RUB;https://www.detmir.ru/product/index/id/3142047/
3597036;Конструктор LEGO Speed Champions Koenigsegg Jesko 76900;;МСК, СПБ;1799 RUB;https://www.detmir.ru/product/index/id/3597036/
3226650;Конструктор LEGO City Police Погоня на полицейском вертолете 60243;2499 RUB;МСК, СПБ;1499 RUB;https://www.detmir.ru/product/index/id/3226650/
3226597;Конструктор LEGO Friends Роскошный отдых на природе 41392;2599 RUB;МСК, СПБ;1649 RUB;https://www.detmir.ru/product/index/id/3226597/
2503921;Конструктор Attivio 56 деталей Космолет;;МСК, СПБ;2499 RUB;https://www.detmir.ru/product/index/id/2503921/
3150682;Конструктор LEGO Technic Porsche 911 RSR 42096;13999 RUB;МСК, СПБ;8519 RUB;https://www.detmir.ru/product/index/id/3150682/
3176039;Конструктор LEGO Harry Potter Хижина Хагрида спасение Клювокрыла 75947;5499 RUB;МСК, СПБ;3569 RUB;https://www.detmir.ru/product/index/id/3176039/
3498472;Конструктор LEGO Disney Princess Райя и дракон Сису 43184;2599 RUB;МСК, СПБ;1609 RUB;https://www.detmir.ru/product/index/id/3498472/
3226653;Конструктор LEGO City Police Полицейский участок 60246;8999 RUB;МСК, СПБ;5329 RUB;https://www.detmir.ru/product/index/id/3226653/
